BSSID,Frequency,Band,Signal (dBm),SSID
24:0b:2a:5e:29:b1,2427,2.4GHz,-32.0,VHT-MESH ONT5
24:0b:2a:f1:b9:30,2432,2.4GHz,-21.0,ONTw6_HUONGTV2
24:0b:2a:25:12:9c,2427,2.4GHz,-41.0,VIETTEL_251298
24:0b:2a:5e:29:a9,2427,2.4GHz,-39.0,ONT_5E29A8
24:0b:2a:f1:ba:51,2432,2.4GHz,-33.0,VHT KEANGNAM
24:0b:2a:28:06:8c,2432,2.4GHz,-29.0,VIETTEL_280688
24:0b:2a:bf:e9:cd,2452,2.4GHz,-44.0,LeTTM2
26:0b:2a:9f:e9:8f,2452,2.4GHz,-40.0,AB
24:0b:2a:bf:e8:8c,2452,2.4GHz,-53.0,LeTTM2
64:6e:60:16:2c:d2,2462,2.4GHz,-37.0,ZTE_2.4G
24:0b:2a:bf:e7:ec,2467,2.4GHz,-41.0,VIETTEL_BFE7E8
00:0c:43:26:60:f0,2467,2.4GHz,-41.0,VIETTEL_AP_199803
26:0b:2a:11:9d:70,5560,5GHz,-44.0,VIETTEL_D6C_SSID2_2G
24:0b:2a:f1:14:08,2462,2.4GHz,-45.0,VIETTEL_F11404
24:0b:2a:78:20:35,5180,5GHz,-61.0,VIETTEL_XXXXXX
24:0b:2a:bf:e8:8d,5180,5GHz,-55.0,LeTTM2
26:0b:2a:bf:e8:8c,5180,5GHz,-55.0,
26:0b:2a:78:20:26,5180,5GHz,-62.0,
72:98:83:11:02:00,5180,5GHz,-64.0,MTK_CHEETAH_AP_5G
64:6e:60:46:2c:d3,5180,5GHz,-42.0,ZTE_5G
66:6e:60:76:2c:d3,5180,5GHz,-42.0,
26:0b:2a:c1:ba:50,5200,5GHz,-58.0,VIETTEL_cvkjhvbj
26:0b:2a:d1:ba:50,5200,5GHz,-60.0,VIETTEL_14654646888
26:0b:2a:f1:ba:50,5200,5GHz,-57.0,
26:0b:2a:c1:ba:41,5200,5GHz,-47.0,VIETTEL_cvkjhvbj
26:0b:2a:d1:ba:41,5200,5GHz,-47.0,VIETTEL_14654646888
26:0b:2a:9f:e8:5c,5200,5GHz,-44.0,VIETTEL_cvkjhvbj
26:0b:2a:f1:ba:41,5200,5GHz,-48.0,
4c:12:e8:f9:ae:08,5220,5GHz,-45.0,VNPT-5G
24:0b:2a:bf:e8:21,5220,5GHz,-34.0,hieupt35_ont6
24:0b:2a:c1:9d:71,5240,5GHz,-56.0,VIETTEL_C19D6C
26:0b:2a:b1:9d:70,5240,5GHz,-55.0,
24:0b:2a:ff:f3:a5,5240,5GHz,-41.0,JBT
26:0b:2a:bf:f3:a4,5240,5GHz,-40.0,
24:0b:2a:5e:e4:82,5260,5GHz,-47.0,VIETTEL_5EE480
26:0b:2a:cf:e9:af,5280,5GHz,-51.0,VHT-MESH ONT6
26:0b:2a:df:e9:af,5280,5GHz,-53.0,VHT-MESH ONT6 5GHz
26:0b:2a:ff:e9:af,5280,5GHz,-52.0,
24:0b:2a:5e:28:7a,5300,5GHz,-52.0,DVSBH
26:0b:2a:cf:e9:a3,5500,5GHz,-47.0,VHT-MESH
26:0b:2a:cf:e9:5d,5500,5GHz,-38.0,VHT-MESH
26:0b:2a:ff:e9:a3,5500,5GHz,-47.0,
24:0b:2a:28:06:8d,5520,5GHz,-42.0,VIETTEL_280688_5G
24:0b:2a:f1:14:09,5520,5GHz,-33.0,VIETTEL_F11404
26:0b:2a:c1:ba:14,5520,5GHz,-50.0,VIETTEL_AP_F1BA13
26:0b:2a:f1:ba:14,5520,5GHz,-50.0,
26:0b:2a:c1:b9:ea,5540,5GHz,-49.0,_VHT-MESH-20Users
26:0b:2a:c1:b9:e7,5540,5GHz,-51.0,_VHT-MESH-20Users
26:0b:2a:f1:b9:e7,5540,5GHz,-54.0,
24:0b:2a:30:12:25,5765,5GHz,-45.0,VIETTEL_301220
24:0b:2a:77:5b:51,5765,5GHz,-55.0,VHT-MESH ONT5
26:0b:2a:cf:e9:4b,5785,5GHz,-22.0,.-_-.
26:0b:2a:cf:e9:6b,5805,5GHz,-33.0,VHT_5G
00:aa:bb:01:23:45,5805,5GHz,-34.0,VIETTEL_012340
24:0b:2a:bf:e8:dd,5805,5GHz,-51.0,VIETTEL_BFE8D8
